country,year,HS,log_gdp,social,life_exp,freedom,generosity,corruption,mental,schooling,alcohol,suicide,birth,obesity,continent
Afghanistan,2019,2.375,7.697,0.42,52.4,0.394,-0.108,0.924,3.24,3.8,0.683,0.761,4.321,8.5,AS
Albania,2019,4.995,9.544,0.686,69.0,0.777,-0.099,0.914,4.968,10.0,0.437,0.744,1.597,12.11,EU
Algeria,2019,4.745,9.337,0.803,66.1,0.385,0.005,0.741,7.569,8.0,0.333,1.012,2.988,17.47,AF
Argentina,2019,6.086,10.0,0.896,69.0,0.817,-0.211,0.83,6.974,9.9,1.706,1.511,2.247,11.41,SA
Armenia,2019,5.488,9.522,0.782,67.2,0.844,-0.172,0.583,4.588,11.7,1.532,1.066,1.758,13.36,AS
Australia,2019,7.234,10.815,0.943,73.9,0.918,0.121,0.43,9.425,12.9,1.809,1.787,1.815,11.65,OC
Austria,2019,7.195,10.939,0.964,73.3,0.903,0.06,0.457,6.882,12.1,3.308,1.747,1.544,11.24,EU
Azerbaijan,2019,5.173,9.575,0.887,65.8,0.854,-0.214,0.457,4.111,10.7,3.459,0.571,2.063,15.61,AS
Bahrain,2019,7.098,10.715,0.878,69.3,0.907,0.048,0.525,10.726,9.4,0.689,2.193,1.964,25.69,AS
Bangladesh,2019,5.114,8.467,0.673,64.8,0.902,-0.051,0.656,5.71,5.8,0.185,1.053,2.011,4.36,AS
Belarus,2019,5.821,9.86,0.917,66.4,0.657,-0.186,0.546,4.353,12.3,19.492,1.949,1.722,16.3,EU
Belgium,2019,6.772,10.853,0.884,72.2,0.776,-0.172,0.672,7.032,11.8,2.956,1.958,1.715,8.14,EU
Benin,2019,4.976,8.098,0.442,54.7,0.77,-0.016,0.698,2.559,3.6,2.446,0.859,4.767,3.75,AF
Bolivia,2019,5.674,9.074,0.784,63.9,0.881,-0.086,0.857,5.421,8.9,3.243,1.002,2.688,9.58,SA
Bosnia and Herzegovina,2019,6.016,9.609,0.873,68.1,0.722,0.079,0.963,4.197,9.7,2.037,0.842,1.254,13.57,EU
Botswana,2019,3.471,9.785,0.774,59.6,0.833,-0.239,0.792,4.538,9.3,1.606,1.405,2.836,9.67,AF
Brazil,2019,6.451,9.592,0.899,66.6,0.83,-0.062,0.762,6.733,7.8,4.523,1.048,1.719,12.3,SA
Bulgaria,2019,5.108,10.047,0.948,67.0,0.822,-0.109,0.943,3.635,11.8,1.029,0.924,1.574,17.17,EU
Burkina Faso,2019,4.741,7.691,0.683,54.4,0.678,-0.004,0.729,2.022,1.5,2.684,0.826,5.109,2.57,AF
Cambodia,2019,4.998,8.387,0.759,62.0,0.957,0.013,0.828,4.131,4.8,1.401,0.649,2.478,3.67,AS
Cameroon,2019,4.937,8.203,0.711,53.5,0.712,-0.008,0.817,2.856,6.3,2.636,1.135,4.506,5.04,AF
Canada,2019,7.109,10.8,0.925,73.8,0.912,0.112,0.436,7.438,13.3,2.318,1.652,1.509,11.75,Nor.A
Chad,2019,4.251,7.365,0.64,48.7,0.537,0.055,0.832,1.66,2.3,1.764,0.54,5.649,1.39,AF
Chile,2019,5.942,10.095,0.869,70.0,0.659,-0.103,0.86,8.106,10.3,3.032,1.835,1.627,12.33,SA
China,2019,5.144,9.688,0.822,69.6,0.927,-0.173,0.7411616213442773,5.961,7.8,1.103,1.23,1.696,7.88,AS
Colombia,2019,6.35,9.598,0.873,68.0,0.822,-0.172,0.854,5.871,8.3,0.225,1.244,1.789,10.67,SA
Comoros,2019,4.609,8.033,0.632,57.5,0.538,0.077,0.762,3.598,4.6,1.778,0.897,4.138,4.29,AF
Costa Rica,2019,6.998,9.885,0.906,71.5,0.927,-0.146,0.836,6.979,8.8,2.245,1.679,1.737,11.99,Nor.A
Croatia,2019,5.626,10.258,0.936,70.8,0.739,-0.137,0.932,4.66,11.3,3.388,1.382,1.431,13.88,EU
Cyprus,2019,6.137,10.585,0.776,73.9,0.74,-0.008,0.865,8.179,12.1,0.53,0.911,1.321,10.75,AS
Denmark,2019,7.693,10.954,0.958,72.7,0.963,0.02,0.174,6.559,12.6,8.592,1.281,1.764,7.61,EU
Dominican Republic,2019,6.004,9.821,0.884,66.1,0.877,-0.123,0.746,5.477,7.8,1.635,1.379,2.323,13.55,Nor.A
Ecuador,2019,5.809,9.339,0.808,68.8,0.83,-0.115,0.839,6.593,8.7,2.738,1.787,2.403,12.9,SA
Egypt,2019,4.328,9.373,0.772,62.0,0.774,-0.199,0.818,5.629,7.2,0.247,0.952,3.28,20.52,AF
El Salvador,2019,6.455,9.08,0.764,66.4,0.877,-0.109,0.682,5.106,6.9,16.384,1.475,2.021,13.07,Nor.A
Estonia,2019,6.035,10.511,0.934,68.8,0.887,-0.096,0.576,4.934,12.7,12.113,1.435,1.599,17.75,EU
Ethiopia,2019,4.1,7.705,0.748,59.0,0.754,0.053,0.732,3.653,2.7,1.864,0.951,4.146,2.01,AF
Finland,2019,7.78,10.792,0.937,72.0,0.948,-0.052,0.195,6.749,12.4,6.979,1.576,1.483,10.93,EU
France,2019,6.69,10.74,0.958,74.0,0.827,-0.133,0.568,8.412,11.5,3.701,1.911,1.846,7.78,EU
Gabon,2019,4.914,9.607,0.763,60.2,0.736,-0.203,0.846,4.167,8.2,2.075,1.419,3.922,8.31,AF
Gambia,2019,5.164,7.699,0.694,55.3,0.677,0.41,0.798,3.456,3.5,1.986,0.874,5.154,5.49,AF
Georgia,2019,4.892,9.617,0.675,64.3,0.811,-0.26,0.647,3.583,12.8,1.431,0.683,2.055,16.68,AS
Germany,2019,7.035,10.893,0.886,72.5,0.885,0.057,0.462,6.539,14.1,4.634,1.289,1.6,10.88,EU
Ghana,2019,4.967,8.596,0.746,57.6,0.787,0.116,0.857,3.291,7.1,2.243,0.946,3.816,6.14,AF
Greece,2019,5.952,10.319,0.891,72.6,0.614,-0.289,0.848,6.84,10.8,0.244,0.43,1.287,10.29,EU
Guatemala,2019,6.262,9.064,0.774,65.1,0.901,-0.062,0.773,4.792,6.5,12.668,1.076,2.822,8.26,Nor.A
Guinea,2019,4.768,7.849,0.655,55.5,0.691,0.097,0.756,2.111,2.6,1.969,0.689,4.625,3.14,AF
Honduras,2019,5.93,8.653,0.797,67.4,0.846,0.063,0.815,5.286,6.5,5.398,0.792,2.427,10.12,Nor.A
Hungary,2019,6.0,10.393,0.947,68.0,0.798,-0.195,0.884,4.243,11.9,3.257,1.66,1.51,15.36,EU
Iceland,2019,7.533,10.931,0.982,73.0,0.959,0.246,0.699,8.213,12.4,2.295,1.81,1.745,10.36,EU
India,2019,3.249,8.818,0.561,60.5,0.876,0.112,0.752,4.66,6.4,2.319,2.128,2.202,5.37,AS
Indonesia,2019,5.347,9.377,0.802,62.3,0.866,0.555,0.861,4.517,8.0,0.314,0.482,2.288,8.52,AS
Iran,2019,5.006,9.584,0.698,66.3,0.623,0.218,0.728,9.419,9.8,0.329,1.256,2.146,13.97,AS
Ireland,2019,7.255,11.371,0.944,72.4,0.892,0.074,0.373,8.932,12.5,1.602,1.47,1.821,9.11,EU
Israel,2019,7.332,10.601,0.946,73.5,0.834,0.085,0.743,8.361,13.0,0.592,1.187,3.018,10.03,AS
Italy,2019,6.445,10.655,0.838,73.8,0.709,-0.082,0.866,7.179,10.2,0.389,0.697,1.313,10.19,EU
Cote d'Ivoire,2019,5.392,8.564,0.679,50.1,0.736,-0.017,0.799,2.444,5.2,2.498,1.036,4.593,3.89,AF
Jamaica,2019,6.309,9.186,0.878,67.5,0.891,-0.137,0.885,5.744,9.8,0.529,0.534,1.965,15.1,Nor.A
Japan,2019,5.908,10.632,0.878,75.1,0.806,-0.255,0.617,6.08,12.8,0.427,2.101,1.366,4.16,AS
Jordan,2019,4.453,9.201,0.793,67.0,0.726,-0.165,0.739,8.634,10.4,0.266,1.106,2.691,19.14,AS
Kazakhstan,2019,6.272,10.179,0.951,65.2,0.852,-0.055,0.708,4.567,11.8,8.693,3.167,2.733,16.55,AS
Kenya,2019,4.619,8.373,0.676,60.7,0.818,0.31,0.794,3.665,6.5,2.264,1.059,3.423,3.48,AF
Kuwait,2019,6.106,10.817,0.842,66.9,0.867,-0.104,0.56,11.531,7.3,0.207,1.68,2.077,21.45,AS
Kyrgyzstan,2019,5.685,8.567,0.877,64.4,0.92,-0.002,0.885,4.766,10.9,6.848,1.753,2.952,11.69,AS
Laos,2019,5.197,8.965,0.729,59.1,0.906,0.061,0.62,3.675,5.2,1.734,1.184,2.626,6.35,AS
Latvia,2019,5.97,10.336,0.936,67.1,0.698,-0.194,0.789,3.904,12.8,10.691,1.561,1.732,15.99,EU
Lebanon,2019,4.024,9.597,0.866,67.6,0.447,-0.081,0.89,8.83,8.7,0.329,1.208,2.075,19.66,AS
Lesotho,2019,3.512,7.926,0.79,48.7,0.716,-0.131,0.915,2.641,6.3,2.627,2.027,3.108,7.07,AF
Liberia,2019,5.121,7.264,0.712,56.9,0.706,0.051,0.828,2.847,4.7,2.03,1.089,4.247,4.58,AF
Libya,2019,5.33,9.627,0.827,62.3,0.762,-0.073,0.686,6.511,7.3,0.597,1.677,2.206,18.67,AF
Lithuania,2019,6.064,10.518,0.918,67.9,0.78,-0.251,0.783,4.273,13.0,9.239,2.525,1.684,14.63,EU
Luxembourg,2019,7.404,11.648,0.912,72.6,0.93,-0.045,0.39,7.76,12.1,3.039,1.56,1.432,9.85,EU
Madagascar,2019,4.339,7.406,0.701,59.5,0.55,-0.012,0.72,2.742,6.1,1.956,0.861,4.026,3.26,AF
Malawi,2019,3.869,6.966,0.549,58.3,0.765,0.004,0.68,2.646,4.5,2.714,0.918,4.127,2.79,AF
Malaysia,2019,5.428,10.252,0.842,67.2,0.916,0.123,0.782,6.727,10.2,1.555,1.365,1.983,10.64,AS
Mali,2019,4.988,7.752,0.755,52.2,0.67,-0.038,0.67,1.61,2.3,1.275,0.39,5.785,1.95,AF
Malta,2019,6.733,10.677,0.922,72.2,0.924,0.087,0.689,6.603,11.3,0.635,0.667,1.467,11.57,EU
Mauritania,2019,4.153,8.556,0.798,57.3,0.628,-0.102,0.743,3.838,4.5,1.451,0.786,4.503,7.53,AF
Mauritius,2019,6.241,10.043,0.913,66.7,0.893,-0.053,0.81,5.032,9.3,4.651,1.138,1.368,18.79,AF
Mexico,2019,6.432,9.891,0.852,68.6,0.903,-0.141,0.809,5.619,8.6,3.972,1.073,2.103,16.23,Nor.A
Moldova,2019,5.803,9.475,0.809,65.7,0.784,-0.092,0.884,4.01,11.6,9.292,1.554,1.269,15.76,EU
Mongolia,2019,5.563,9.418,0.946,62.5,0.711,0.149,0.873,4.184,10.1,13.87,2.473,2.867,13.04,AS
Montenegro,2019,5.386,9.97,0.832,68.7,0.694,-0.105,0.82,4.565,11.3,1.413,1.178,1.748,15.04,EU
Morocco,2019,5.057,8.925,0.535,66.2,0.757,-0.244,0.757,7.316,5.5,0.369,1.165,2.382,17.66,AF
Mozambique,2019,4.932,7.155,0.742,55.2,0.87,0.073,0.682,2.338,3.5,3.9,1.06,4.783,2.51,AF
